Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:51:48,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2012
TPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE14BB50>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2013
﻿Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:51:48,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE14AE10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2013

﻿Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:51:48,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2014
nectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE149950>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2014
﻿Time,Target,URL,Mode,Status,Latency(ms)
2026-05-12 06:51:48,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE14A210>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2013
2026-05-12 06:51:55,Web1-DB,192.168.37.134:3306,TCP,다운 / 오류: timed out,2006
2026-05-12 06:51:55,Web2-SSH,192.168.37.133:22,TCP,다운 / 오류: timed out,2005
2026-05-12 06:51:55,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE168750>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:51:55,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCCFDFA10>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:51:55,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE169050>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2006
2026-05-12 06:51:55,Web2-HTTP,http://192.168.37.133:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.133', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE16A550>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-12 06:51:55,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE169B90>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2007
2026-05-12 06:52:02,Web1-HTTP,http://192.168.37.134:80,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE17C390>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:02,Web1-HTTPS,https://192.168.37.134:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.134', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE17B810>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:02,Web1-Admin,http://192.168.37.134:8080,HTTP,"다운 / 오류: HTTPConnectionPool(host='192.168.37.134', port=8080): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x0000025DCE17D810>, 'Connection to 192.168.37.134 timed out. (connect timeout=2)'))",2008
2026-05-12 06:52:02,Web2-HTTPS,https://192.168.37.133:443,HTTPS,"다운 / 오류: HTTPSConnectionPool(host='192.168.37.133', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x0000025DCE17E3D0>, 'Connection to 192.168.37.133 timed out. (connect timeout=2)'))",2008
